COVID-19 Vaccinations Equity
Date generated: Sat Mar 12 2022 13:29:15 GMT-0500 (北美东部标准时间)
County,State,SVI,County of Residence Reporting Completeness,Percent of total population fully vaccinated,Percent of 5+ pop fully vaccinated,Percent of 12+ pop fully vaccinated,Percent of 18+ pop fully vaccinated,Percent of 65+ pop fully vaccinated
Shelby County,TN ,High,97.8,54.9,59,63.9,65.9,84.5
Smith County,TN ,Low-Mod,97.8,32.8,34.9,37.9,40.4,62.7
Stewart County,TN ,Low-Mod,97.8,43.7,46.2,49.8,52.2,74.9
Sullivan County,TN ,Mod-High,97.8,55.9,58.7,62.5,64.7,84.2
Sumner County,TN ,Low,97.8,47.6,50.6,54.8,57.1,77.6
Tipton County,TN ,Low-Mod,97.8,40.2,42.7,46.6,49.2,73.4
Trousdale County,TN ,Mod-High,97.8,36.4,38.5,41.1,42.6,80.5
Unicoi County,TN ,High,97.8,53.8,56.4,60.2,62.7,82.8
Union County,TN ,Mod-High,97.8,34.6,36.6,39.9,42.5,60.9
Van Buren County,TN ,Mod-High,97.8,58.2,61.8,66.6,69.9,94.6
Warren County,TN ,High,97.8,40.9,43.5,47.5,50.4,75.2
Washington County,TN ,Low-Mod,97.8,59.2,62.2,65.9,67.7,91.7
Wayne County,TN ,High,97.8,40.6,42.3,44.9,46.6,71.3
Weakley County,TN ,Mod-High,97.8,37.7,39.8,42.8,44.7,67.7
White County,TN ,Mod-High,97.8,42.1,44.7,48.7,51.7,80.8
Williamson County,TN ,Low,97.8,65.7,69.8,75,78,95
Wilson County,TN ,Low,97.8,52.7,56.1,60.2,62.3,81
Anderson County,TX ,High,99,39.1,41.2,44.4,46.6,64.2
Andrews County,TX ,Low-Mod,99,43.8,47.8,53.9,57.1,85.4
Angelina County,TX ,High,99,46.6,50,55.2,58.2,80.4
Aransas County,TX ,High,99,56.7,59.4,63.6,65.5,81
Archer County,TX ,Low,99,59.7,63,68.2,70.7,87.9
Armstrong County,TX ,Low,99,40.8,43.4,47.8,51,68.9
Atascosa County,TX ,High,99,51.6,55.6,61.4,63.5,81.5
Austin County,TX ,Low-Mod,99,47.4,50.3,55.2,57.9,78.4
Bailey County,TX ,High,99,38.6,42,47.2,51.5,71.2
Bandera County,TX ,Mod-High,99,50.4,52.6,55.7,56.9,71.5
Bastrop County,TX ,Mod-High,99,57,61,66.8,69,77.7
Baylor County,TX ,Low,99,40.9,43.4,48,51.8,76.4
Bee County,TX ,High,99,49.9,52.9,57.1,58.8,82.7
Bell County,TX ,High,99,59.4,64.7,71.6,73.8,91
Bexar County,TX ,High,99,68.6,73.7,79.6,80.6,93.7
Blanco County,TX ,Low-Mod,99,56.5,58.9,62.6,65.5,87.1
Borden County,TX ,Low,99,34.3,35.7,38.9,40.5,44.3
Bosque County,TX ,Mod-High,99,46.1,48.7,52.9,55.6,73.1
Bowie County,TX ,High,99,39,41.6,45.6,48.3,69.8
Brazoria County,TX ,Mod-High,99,57.5,61.6,66.9,68.2,85.2
Brazos County,TX ,Mod-High,99,51.2,54.5,58,59.1,90
Brewster County,TX ,Mod-High,99,58.7,61.8,65.2,67.6,76.4
Briscoe County,TX ,Low-Mod,99,44.2,46.6,50.6,53.1,77
Brooks County,TX ,High,99,61.7,67.2,74.3,74.9,84.5
Brown County,TX ,Mod-High,99,41.1,43.4,47.1,50.3,68.4
Burleson County,TX ,Mod-High,99,48.8,51.9,56.4,59.4,82.4
Burnet County,TX ,Mod-High,99,53.2,56.2,60.7,63.4,87.6
Caldwell County,TX ,High,99,56.1,59.9,64.7,65.8,83.1
Calhoun County,TX ,High,99,56.9,60.8,66.1,69.4,90.8
Callahan County,TX ,Low-Mod,99,41.3,43.7,47.3,49.7,68.7
Cameron County,TX ,High,99,77.3,83.8,89.9,89.9,91.1
Camp County,TX ,High,99,39.9,42.9,47.2,50,68.2
Carson County,TX ,Low,99,36.6,38.5,42.6,46.4,64.2
Cass County,TX ,High,99,35,37.1,40.6,43.2,63.1
Castro County,TX ,High,99,44.1,47.5,52.5,54.9,76.3
Chambers County,TX ,Low-Mod,99,47.3,50.8,56.3,58.9,82.1
Cherokee County,TX ,High,99,39,42,46.1,49,66.6
Childress County,TX ,Mod-High,99,46.6,48.8,52.6,54.9,68.2
Clay County,TX ,Low-Mod,99,46.3,48.4,52.4,55.7,77.2
Cochran County,TX ,High,99,52.1,55.9,62.8,68,95
Coke County,TX ,Mod-High,99,46.3,49.4,52.9,54.6,62.2
Coleman County,TX ,Low-Mod,99,36.7,38.6,41.9,44.7,65.4
Collin County,TX ,Low,99,66.7,71,76,77.5,88.7
Collingsworth County,TX ,High,99,32.9,34.9,39.2,42.6,72.3
Colorado County,TX ,Mod-High,99,52.4,55.9,61.3,64.4,83.3
Comal County,TX ,Low,99,61.5,65.2,70.3,72.3,92.8
Comanche County,TX ,Mod-High,99,46.7,49.5,54,57.4,73.3
Concho County,TX ,Low-Mod,99,49.3,51.9,55.1,58.8,78.8
Cooke County,TX ,Mod-High,99,37.5,40.2,44,46.6,68.7
Coryell County,TX ,High,99,53,56.8,61.9,62.8,95
Cottle County,TX ,High,99,32.3,34.3,37.3,40.7,57.5
Crane County,TX ,Low-Mod,99,36.8,39.7,44.4,46.7,66.3
Crockett County,TX ,Mod-High,99,47,50,55.9,58.9,84.5
Crosby County,TX ,High,99,43.9,46.8,51.8,55.8,75.3
Culberson County,TX ,High,99,51.9,55.6,60.2,62.7,65.6
Dallam County,TX ,Mod-High,99,43.6,48.3,55.1,60.6,71.8
Dallas County,TX ,High,99,59.8,64.5,70,71.8,85.2
Dawson County,TX ,High,99,33.8,36.4,40.6,43.7,66.9
Deaf Smith County,TX ,High,99,42.9,47,53.1,56.4,77.5
Delta County,TX ,Mod-High,99,35.1,37.7,41.3,44,67.4
Denton County,TX ,Low,99,61,64.9,69.6,71.3,89.4
DeWitt County,TX ,High,99,45,48,52.5,55.5,74.9
Dickens County,TX ,High,99,33.5,35.1,37.6,39.5,61.7
Dimmit County,TX ,High,99,71.4,76.8,82.9,73.5,83
Donley County,TX ,Low-Mod,99,34.1,35.8,38.7,41.2,62.7
Duval County,TX ,High,99,61.8,66.5,72.7,75,80.3
Eastland County,TX ,High,99,37.1,39.4,42.6,45.5,68.9
Ector County,TX ,High,99,42,46.1,51.9,54.3,80.4
Edwards County,TX ,Low-Mod,99,83.1,88.2,94.5,95,95
El Paso County,TX ,High,99,79.8,86,91.1,90.3,95
Ellis County,TX ,Low-Mod,99,53.5,57.3,62.9,65.3,87.4
Erath County,TX ,Mod-High,99,37.7,39.9,43.1,45,74.9
Falls County,TX ,High,99,46.8,49.7,53.6,55.7,66.9
Fannin County,TX ,Mod-High,99,44.1,46.5,50.6,53.7,78.7
Fayette County,TX ,Low-Mod,99,49.7,52.3,56.2,58.9,76.5
Fisher County,TX ,Low-Mod,99,36.3,38.4,41.9,44.3,59.7
Floyd County,TX ,High,99,45.2,48.4,54.2,58.6,78.9
Foard County,TX ,Low-Mod,99,43.6,45.6,49.4,52.9,68.6
Fort Bend County,TX ,Low-Mod,99,70.6,75.7,81.3,82.2,95
Franklin County,TX ,Mod-High,99,36.7,38.7,42.4,45.8,65.7
Freestone County,TX ,High,99,38,40.4,44.3,47.3,61
Frio County,TX ,High,99,65,69.4,75.5,78.7,72.5
Gaines County,TX ,Mod-High,99,21.7,24.2,28.2,31.4,52.5
Galveston County,TX ,Mod-High,99,59.5,63.5,68.5,70.2,86.3
Garza County,TX ,Mod-High,99,52,54.3,58,61,79
Gillespie County,TX ,Low-Mod,99,53.4,56.2,60.5,63.3,79.7
Glasscock County,TX ,Low,99,44.2,47.2,52.3,56,73.3
Goliad County,TX ,Mod-High,99,42.4,44.9,48.4,50.6,66.9
Gonzales County,TX ,High,99,48.8,52.6,58.2,61.7,76.8
Gray County,TX ,High,99,47.8,51.1,56.8,60.1,87.1
Grayson County,TX ,Mod-High,99,44.6,47.6,52.1,55.3,79.1
Gregg County,TX ,High,99,44.5,47.8,52.9,55.3,78.9
Grimes County,TX ,High,99,52.6,55.8,60.6,63.4,83.7
Guadalupe County,TX ,Low-Mod,99,54.6,58.2,63.1,64.3,81.8
Hale County,TX ,High,99,43.9,47,52.3,55.6,81.5
Hall County,TX ,High,99,43.4,45.2,49.3,53.5,73.6
Hamilton County,TX ,Mod-High,99,51.7,54.9,59.8,62.4,82.2
Hansford County,TX ,High,99,41.8,45.3,51.2,56.5,83.5
Hardeman County,TX ,Mod-High,99,45.9,48.3,52.6,54.9,70.3
Hardin County,TX ,Low-Mod,99,37.5,40,44.1,46.8,72.6
Harris County,TX ,Mod-High,99,62.8,67.8,73.8,75.2,88.7
Harrison County,TX ,Mod-High,99,40.9,43.5,48,50.7,71.3
Hartley County,TX ,Mod-High,99,48,50.9,55.2,58.5,54.4
Haskell County,TX ,High,99,38.2,39.8,42.7,44.7,69.6
Hays County,TX ,Low-Mod,99,61.7,65.7,69.9,70.8,95
Hemphill County,TX ,Mod-High,99,41.8,44.8,50.8,57.1,73.4
Henderson County,TX ,Mod-High,99,39,41.2,44.8,47.3,67
Hidalgo County,TX ,High,99,71.5,78.3,85.2,85.6,88.2
Hill County,TX ,High,99,40.6,43.1,47.3,50.8,70.9
Hockley County,TX ,High,99,42.2,45.3,49.9,52.1,73.4
Hood County,TX ,Low-Mod,99,50,52.8,57.3,60.4,87
Hopkins County,TX ,Mod-High,99,39.1,41.7,45.7,48.5,69.1
Houston County,TX ,High,99,41.8,44,47.6,50.2,63.8
Howard County,TX ,High,99,37.3,39.9,43.4,45.6,62.8
Hudspeth County,TX ,High,99,73.1,77.3,81.2,81.1,71.9
Hunt County,TX ,High,99,42.4,45.3,49.4,51.6,72.6
Hutchinson County,TX ,Mod-High,99,34.7,37.1,41.2,44.4,66.9
Irion County,TX ,Low,99,95,95,95,95,93.6
Jack County,TX ,Mod-High,99,40.7,42.9,47,50.4,74.6
Jackson County,TX ,Mod-High,99,44.8,48.2,52.7,55.5,78.3
Jasper County,TX ,High,99,35.9,38.3,42,44.8,65.5
Jeff Davis County,TX ,Low-Mod,99,53.3,54.1,53.9,53.7,59.6
Jefferson County,TX ,High,99,50.5,54.2,59.2,61,77.9
Jim Hogg County,TX ,High,99,55.1,59.3,66.3,67.8,76
Jim Wells County,TX ,High,99,53.4,57.5,63.8,66.3,81.7
Johnson County,TX ,Mod-High,99,45.6,48.8,53.8,56.5,77.6
Jones County,TX ,Mod-High,99,43.7,45.7,48.9,51.1,64.9
Karnes County,TX ,High,99,57,60.5,65.8,69.5,95
Kaufman County,TX ,Mod-High,99,51.6,55.6,61.3,63.9,85.8
Kendall County,TX ,Low,99,61.3,64.4,69.3,72.2,91.4
Kenedy County,TX ,Mod-High,99,53.7,55.9,62,62.8,72.1
Kent County,TX ,Low-Mod,99,37.8,39.6,44.2,47.7,65.7
Kerr County,TX ,Mod-High,99,50.1,52.9,56.5,58.3,73.4
Kimble County,TX ,Mod-High,99,42.7,44.9,48.2,51,68.2
King County,TX ,Low,N/A,N/A,N/A,N/A,N/A,N/A
Kinney County,TX ,High,99,50.4,53,56.8,58.7,71.4
Kleberg County,TX ,High,99,60.1,64.3,69.6,70.5,90.5
Knox County,TX ,High,99,38.9,41.7,47.3,51.1,74.5
La Salle County,TX ,High,99,64.4,68.1,71.9,72.5,81
Lamar County,TX ,High,99,39.4,42.1,46.1,48.4,70
Lamb County,TX ,High,99,43.1,46.3,51.7,55.5,73.5
Lampasas County,TX ,Mod-High,99,46.7,49.2,53.4,55.8,80
Lavaca County,TX ,Mod-High,99,41,43.5,47.8,51.3,71.8
Lee County,TX ,Mod-High,99,46.8,49.7,53.7,56.4,81.1
Leon County,TX ,Mod-High,99,35.5,37.8,41.4,44,62.8
Liberty County,TX ,High,99,41.6,44.9,49.8,51.7,69.1
Limestone County,TX ,High,99,37,39.4,42.9,44.9,60.7
Lipscomb County,TX ,Low-Mod,99,34.1,36.1,40.3,44.4,66.6
Live Oak County,TX ,Mod-High,99,42.4,44.9,48.6,50.8,56.4
Llano County,TX ,Low-Mod,99,50.7,52.9,55.8,57.9,68.1
Loving County,TX ,High,N/A,N/A,N/A,N/A,N/A,N/A
Lubbock County,TX ,Mod-High,99,48.1,51.5,55.9,57.9,83.9
Lynn County,TX ,High,99,38.6,41.5,46.5,50.1,67.4
Madison County,TX ,High,99,41,43.4,47.2,49.9,64.9
Marion County,TX ,Mod-High,99,40.2,42.1,45.2,46.9,59.4
Martin County,TX ,Low-Mod,99,30.9,33.8,38.9,41.7,66
Mason County,TX ,Low-Mod,99,47.2,49.6,53.5,56.8,75.8
Matagorda County,TX ,High,99,46.2,49.8,55.1,57.8,72.8
Maverick County,TX ,High,99,91.5,95,95,95,95
McCulloch County,TX ,Mod-High,99,38.2,40.3,44.2,47.4,73
McLennan County,TX ,High,99,51,54.8,59.5,61.6,79.8
McMullen County,TX ,High,99,45.9,48.5,52.1,54.2,51.9
Medina County,TX ,Mod-High,99,55.2,58.7,63.2,65.3,81.1
Menard County,TX ,Mod-High,99,53.4,55.6,59.9,61.7,71.2
Midland County,TX ,Low-Mod,99,41.3,45.3,50.6,52.9,72.9
Milam County,TX ,High,99,45.1,47.9,52.2,55.2,73.4
Mills County,TX ,High,99,44.4,46.3,49.7,52.7,68.9
Mitchell County,TX ,Mod-High,99,35.6,37.6,41.2,43.5,65.6
Montague County,TX ,Mod-High,99,34.8,37,40.5,43.5,66.2
Montgomery County,TX ,Low-Mod,99,53.9,57.7,62.9,64.9,81.2
Moore County,TX ,Mod-High,99,45.2,49.8,57,62,77.7
Morris County,TX ,Mod-High,99,42.5,45.1,49.6,52.4,72.7
Motley County,TX ,Mod-High,99,29.2,30.7,32.9,35.8,60.1
Nacogdoches County,TX ,High,99,47.2,50.3,54.8,56.8,83.9
Navarro County,TX ,High,99,44.9,48.4,53.4,56.2,73.1
Newton County,TX ,Mod-High,99,25,26.2,28.4,29.9,48.2
Nolan County,TX ,High,99,41.8,44.8,49.7,52.9,76.9
Nueces County,TX ,High,99,56.9,60.9,65.7,67.3,79.3
Ochiltree County,TX ,Mod-High,99,38.4,41.7,47.7,51.6,76.8
Oldham County,TX ,Low-Mod,99,35.2,36.4,38.4,42.9,79.7
Orange County,TX ,Mod-High,99,36,38.6,42.8,45.5,69.3
Palo Pinto County,TX ,High,99,38.5,41,45,47.7,70.4
Panola County,TX ,Mod-High,99,37.8,40.1,44,47.2,69.1
Parker County,TX ,Low-Mod,99,53.6,57.1,62.6,66,95
Parmer County,TX ,High,99,40.3,43.7,48.1,50.8,71.1
Pecos County,TX ,High,99,57.5,61.3,67.2,68.1,81.3
Polk County,TX ,High,99,46.9,49.5,53.5,56.3,95
Potter County,TX ,High,99,45,48.6,54.3,57.4,82.4
Presidio County,TX ,High,99,95,95,95,95,95
Rains County,TX ,Low-Mod,99,36.7,38.7,42.1,44.2,60.9
Randall County,TX ,Low,99,45.9,49,53.5,56.3,78.7
Reagan County,TX ,Low-Mod,99,38.7,41.9,47.9,50.2,70.7
Real County,TX ,Mod-High,99,49.6,51.8,55.1,57.3,78.2
Red River County,TX ,Mod-High,99,41.1,43.1,46.7,48.9,68.4
Reeves County,TX ,High,99,54.9,58.6,63.8,53,80
Refugio County,TX ,High,99,53.7,56.9,61.9,63.5,78.8
Roberts County,TX ,Low,99,34.2,36.3,39.5,42.7,64.8
Robertson County,TX ,High,99,44.2,47.2,51.6,54,71.5
Rockwall County,TX ,Low,99,58,61.8,67.5,70.3,89.3
Runnels County,TX ,Mod-High,99,44,46.6,50.9,54.3,77.1
Rusk County,TX ,High,99,38.3,40.5,44.3,46.4,66.2
Sabine County,TX ,Mod-High,99,36.6,38.5,41.2,43.9,60.1
San Augustine County,TX ,High,99,40.3,42.5,46,48.5,62.1
San Jacinto County,TX ,Mod-High,99,34.2,36.1,39.2,41.3,57.2
San Patricio County,TX ,High,99,55.4,59.5,65.4,67.6,85.2
San Saba County,TX ,Mod-High,99,37.2,39.3,42.3,44.8,58.2
Schleicher County,TX ,Mod-High,99,41.7,43.5,48.3,50.8,72.1
Scurry County,TX ,Mod-High,99,46.9,50.2,55.3,57.6,77.9
Shackelford County,TX ,Mod-High,99,37.3,39.5,42.8,46.8,69.8
Shelby County,TX ,High,99,35.7,38.4,42.7,45.5,62.4
Sherman County,TX ,Low-Mod,99,34.2,36.5,41,45,53.2
Smith County,TX ,Mod-High,99,45.5,48.8,53.3,55.8,78.3
Somervell County,TX ,Mod-High,99,45.1,47.4,51.5,54.3,82
Starr County,TX ,High,99,90.4,95,95,91.5,95
Stephens County,TX ,High,99,36.1,38.3,41.6,44.8,66.9
Sterling County,TX ,Low-Mod,99,40,43,48,51.2,82.8
Stonewall County,TX ,Low-Mod,99,40.1,42.5,46,50.4,68.1
Sutton County,TX ,Mod-High,99,43.3,46.2,50.5,53.5,80.2
Swisher County,TX ,High,99,41,43.6,48.5,52,73.4
Tarrant County,TX ,Mod-High,99,55.9,60,65.2,67.2,83.6
Taylor County,TX ,Mod-High,99,49.9,53.9,58.8,61.2,82.6
Terrell County,TX ,Low-Mod,99,52.6,55.5,60.4,61,62.7
Terry County,TX ,High,99,41.7,45.1,50.4,53.2,72.1
Throckmorton County,TX ,Low-Mod,99,40.8,42.6,46.6,48.8,54.6
Titus County,TX ,High,99,38.7,42,46.9,49.4,65.4
Tom Green County,TX ,Mod-High,99,50.1,53.7,58.9,61.4,86.8
Travis County,TX ,Low-Mod,99,68.9,73.3,76.9,77.4,87.6
Trinity County,TX ,High,99,39.2,41.4,44.7,46.9,60.7
Tyler County,TX ,High,99,36.1,37.9,40.9,43,58.4
Upshur County,TX ,Mod-High,99,33.7,35.8,39.2,41.7,62.6
Upton County,TX ,Mod-High,99,40.5,43.5,49,51.6,66.9
Uvalde County,TX ,High,99,54.2,58.4,63.7,66.2,85.1
Val Verde County,TX ,High,99,65.9,71.9,77.4,75.9,81.1
Van Zandt County,TX ,Mod-High,99,37.4,39.8,43.4,46.4,68.6
Victoria County,TX ,High,99,48.3,51.8,57.1,59.7,83
Walker County,TX ,Mod-High,99,47.7,49.8,52.4,53.4,72.5
Waller County,TX ,High,99,41.2,44.1,47.9,48.9,74.3
Ward County,TX ,Mod-High,99,35.4,38.4,43.6,48.1,70.2
Washington County,TX ,Mod-High,99,50.2,53.2,57.5,59.6,80.9
Webb County,TX ,High,99,95,95,95,95,95
Wharton County,TX ,High,99,49.8,53.5,57.7,58.3,75.7
Wheeler County,TX ,Mod-High,99,42.4,45.2,48.7,48.3,72.2
Wichita County,TX ,High,99,52.3,55.8,60.9,63.3,90.9
Wilbarger County,TX ,High,99,51.7,55,59.5,63.1,78.3
Willacy County,TX ,High,99,64.3,68.5,73.8,74.8,83.3
Williamson County,TX ,Low,99,67.7,72.3,76.7,78.2,94.7
Wilson County,TX ,Low-Mod,99,53.4,56.7,61.5,64.1,83.1
Winkler County,TX ,Mod-High,99,38.3,41.3,46.5,50.1,68.9
Wise County,TX ,Mod-High,99,38.6,41.2,45.4,48.5,71.3
Wood County,TX ,Mod-High,99,42.5,44.6,48,50.7,72
Yoakum County,TX ,Low-Mod,99,39.9,43.9,50.5,55.1,76.6
Young County,TX ,Mod-High,99,41.2,43.8,48.3,51.3,71.8
Zapata County,TX ,High,99,59.6,65.1,74.3,76,85
Zavala County,TX ,High,99,56.6,61,67,68.5,91.8
Beaver County,UT ,Low-Mod,97.6,47.3,51.6,59.1,64.2,92.7
Box Elder County,UT ,Low,97.6,51.5,55.9,62.3,65.6,88.6
Cache County,UT ,Low-Mod,97.6,57.7,62.8,69,71.1,95
Carbon County,UT ,Mod-High,97.6,49.5,52.7,57.7,60.5,85.1
Daggett County,UT ,Low,97.6,66.3,69.3,74.5,80.2,89.2
Davis County,UT ,Low,97.6,66.2,72.1,78.3,79.5,94.3
Duchesne County,UT ,Low-Mod,97.6,44.4,48.7,55.9,59.6,89.3
Emery County,UT ,Low-Mod,97.6,45.8,48.8,54.7,59,84
Garfield County,UT ,Low-Mod,97.6,56.6,60.1,64.8,68.8,77.7
Grand County,UT ,Mod-High,97.6,67.3,71.4,76.7,79.5,87.7
Iron County,UT ,Low-Mod,97.6,45.4,49.1,54.5,57.7,86
Juab County,UT ,Low,97.6,36.2,39.6,45.7,50.2,78.4
Kane County,UT ,Low,97.6,49.6,52.6,58,61.6,80
Millard County,UT ,Low-Mod,97.6,44.9,48.6,54.9,59.3,73.7
Morgan County,UT ,Low,97.6,53.2,57.2,64.8,68.7,88.9
Piute County,UT ,Low-Mod,97.6,38,39.6,43.2,48,61.5
Rich County,UT ,Low,97.6,51.6,55.5,62.3,67,88.9
Salt Lake County,UT ,Low-Mod,97.6,69.3,74.7,79.9,81.2,94
San Juan County,UT ,High,97.6,64.3,69.3,74.2,76.2,83.2
Sanpete County,UT ,Mod-High,97.6,40.6,43.2,46.5,47.6,74.1
Sevier County,UT ,Low-Mod,97.6,43.6,47,52,55.3,81.1
Summit County,UT ,Low,97.6,87.6,92.5,95,95,95
Tooele County,UT ,Low-Mod,97.6,58.2,63.1,69.8,71.8,94.5
Uintah County,UT ,Low-Mod,97.6,42.5,46.3,52.3,54.7,80.9
Utah County,UT ,Low-Mod,97.6,56.6,62.3,68.4,71.3,91.2
Wasatch County,UT ,Low,97.6,60.1,64.9,71,73.1,93.1
Washington County,UT ,Low-Mod,97.6,51.6,55.1,60.5,63.6,83.7
Wayne County,UT ,Low-Mod,97.6,53.6,56.9,61.9,66,84.1
Weber County,UT ,Low-Mod,97.6,60.8,65.7,71.7,73.5,95
Addison County,VT ,Low,73.6,70.4,73.6,74.8,74.6,88.5
Bennington County,VT ,Low-Mod,73.6,42.8,44.9,46.2,46.4,57.3
Caledonia County,VT ,Low-Mod,73.6,36.2,38,39.3,39.8,48.1
Chittenden County,VT ,Low,73.6,73.3,76.8,77.9,77.9,89.9
Essex County,VT ,Low,73.6,39.6,41.5,43.3,43.6,52.3
Franklin County,VT ,Low,73.6,36.9,39.2,40.9,41.4,50
Grand Isle County,VT ,Low,73.6,80.4,84.3,87,87.9,95
Lamoille County,VT ,Low,73.6,62.8,66.2,68.4,68.9,86.6
Orange County,VT ,Low,73.6,52.6,55.2,57,57,64.5
Orleans County,VT ,Low-Mod,73.6,58.2,61.2,64.2,65.5,79.3
Rutland County,VT ,Low-Mod,73.6,69.1,72.3,74.9,75.9,90.2
Washington County,VT ,Low,73.6,46.7,49,49.9,50.1,58.1
Windham County,VT ,Low-Mod,73.6,67.7,70.7,72.7,73.1,82.5
Windsor County,VT ,Low,73.6,49.7,51.9,53.6,54.6,62.2
Accomack County,VA ,High,79.3,72.2,76.4,82.1,84.5,93.6
Albemarle County,VA ,Low,79.3,64.4,67.9,71.2,71.1,80.5
Alexandria City,VA ,Low,79.3,62.6,67.2,70.2,69.7,78.5
Alleghany County,VA ,Low-Mod,79.3,39.4,41.2,44.3,46.6,61.1
Amelia County,VA ,Low-Mod,79.3,34.1,36,39.3,41.7,65.8
Amherst County,VA ,Low-Mod,79.3,46.4,48.9,52.4,53.9,72.1
Appomattox County,VA ,Low-Mod,79.3,32.3,34.3,37.5,39.8,61.2
Arlington County,VA ,Low,79.3,70.9,75.2,79.6,79.6,77.3
Augusta County,VA ,Low,79.3,48.6,50.8,54,55.9,73.3
Bath County,VA ,Low,79.3,43.2,45,47.9,49.6,64.3
Bedford County,VA ,Low,79.3,44.3,46.5,50.1,52.6,73.2
Bland County,VA ,Low-Mod,79.3,38.7,40.2,42.4,44.2,62.8
Botetourt County,VA ,Low,79.3,49.3,51.5,54.7,56.7,71.7
Bristol City,VA ,High,79.3,68,71.6,76.6,79.8,95
Brunswick County,VA ,High,79.3,51.6,54,56.9,58.2,72.9
Buchanan County,VA ,High,79.3,47.5,49.5,52.8,54.5,68.4
Buckingham County,VA ,High,79.3,39.1,40.7,43.8,44.9,62
Buena Vista City,VA ,Low-Mod,N/A,N/A,N/A,N/A,N/A,N/A
Campbell County,VA ,Low-Mod,79.3,39.8,41.9,45.2,47.4,67.5
Caroline County,VA ,Low-Mod,79.3,42.2,45,49.5,51.4,70.7
Carroll County,VA ,Low-Mod,79.3,32.8,34.2,36.7,38.3,53.3
Charles City County,VA ,Low,79.3,81.2,84.3,88.4,87.8,89
Charlotte County,VA ,Mod-High,79.3,38.2,40.5,44,46.4,64.6
Charlottesville City,VA ,Low-Mod,79.3,50.3,53.2,55.4,55.1,71.7
Chesapeake City,VA ,Low-Mod,79.3,52.7,56.2,61.3,62.2,78.8
Chesterfield County,VA ,Low,79.3,56.3,59.9,64.4,65.5,82.7
Clarke County,VA ,Low,79.3,63.4,66.3,69.8,71.8,82.7
Colonial Heights City,VA ,Mod-High,79.3,36.1,38.8,42.8,45,62
Covington City,VA ,Low-Mod,N/A,N/A,N/A,N/A,N/A,N/A
Craig County,VA ,Low,79.3,32.9,34.3,36.7,38.6,53.3
Culpeper County,VA ,Low-Mod,79.3,47.9,51.2,56.2,58.4,75
Cumberland County,VA ,Mod-High,79.3,36.2,38,41.1,42.5,55.5
Danville City,VA ,High,79.3,33.8,35.8,39.4,41.7,59.4
Dickenson County,VA ,Mod-High,79.3,46.4,48.7,52.3,53.8,72.8
Dinwiddie County,VA ,Low-Mod,79.3,47.5,49.8,54,56.4,70.9
Emporia City,VA ,High,N/A,N/A,N/A,N/A,N/A,N/A
Essex County,VA ,Mod-High,79.3,45.9,48.2,51.6,53.6,70.7
Fairfax City,VA ,Low,79.3,67.3,74.8,81,80.9,87.7
Fairfax County,VA ,Low,79.3,75.8,80.8,84.7,84.5,85.7
Falls Church City,VA ,Low,79.3,55,58.6,65,66.1,73.1
Fauquier County,VA ,Low,79.3,63.9,67.7,72.2,73.3,80.9
Floyd County,VA ,Low,79.3,37.8,39.7,42.9,44.8,61.3
Fluvanna County,VA ,Low,79.3,61.9,65.4,68.5,69.5,85.7
Franklin City,VA ,Mod-High,N/A,N/A,N/A,N/A,N/A,N/A
Franklin County,VA ,Low-Mod,79.3,43.3,45.4,48.5,50.3,68.3
Frederick County,VA ,Low,79.3,47.8,50.7,55.2,57.5,74
Fredericksburg City,VA ,Mod-High,79.3,39.8,42.6,46.7,47.8,73.1
Galax City,VA ,High,N/A,N/A,N/A,N/A,N/A,N/A
Giles County,VA ,Low-Mod,79.3,44.9,47.4,51.1,53.7,68.3
Gloucester County,VA ,Low,79.3,62.5,65.8,70.2,71.8,90.7
Goochland County,VA ,Low,79.3,65.5,68.1,71.5,72.9,86.4
Grayson County,VA ,Mod-High,79.3,40.5,42.2,45.1,46.9,59
Greene County,VA ,Low,79.3,45.7,48.6,53.4,55.4,69.1
Greensville County,VA ,High,79.3,35.9,37.4,40.1,41.8,63
Halifax County,VA ,Mod-High,79.3,43.1,45.5,48.5,50.5,62.7
Hampton City,VA ,Mod-High,79.3,61.2,65.2,69.7,71.6,85.6
Hanover County,VA ,Low,79.3,58.6,61.7,65.6,67,80.5
Harrisonburg City,VA ,High,79.3,37.9,40,42.6,42.8,68.7
Henrico County,VA ,Low-Mod,79.3,54.7,58.2,62.5,63.7,77.4
Henry County,VA ,High,79.3,39,40.9,44.1,46,59.7
Highland County,VA ,Low,79.3,60.2,63,64.9,65.9,76.9
Hopewell City,VA ,High,79.3,31.4,33.9,38,40.2,61.6
Isle of Wight County,VA ,Low-Mod,79.3,51.8,54.6,58.5,59.6,77.3
James City County,VA ,Low,79.3,55.7,58.6,62.8,65.2,82.5
King and Queen County,VA ,Low-Mod,79.3,50.9,53.4,56.2,57.9,74.5
King George County,VA ,Low,79.3,41.4,44,48.9,51.1,67.6
King William County,VA ,Low,79.3,51.6,54.8,59.4,61.7,87.7
Lancaster County,VA ,Low,79.3,59.9,62.4,65.7,68.3,81.1
Lee County,VA ,High,79.3,50,52.3,56.1,58.4,72
